Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
H0BE14	H0BE14_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SPW_3501	Streptomyces sp. W007	456	Glycosyl hydrolase 1 family
H0BCI1	H0BCI1_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SPW_2968	Streptomyces sp. W007	452	Glycosyl hydrolase 1 family
H0BDP8	H0BDP8_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SPW_3385	Streptomyces sp. W007	489	Glycosyl hydrolase 1 family
H0BLZ7	H0BLZ7_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SPW_6291	Streptomyces sp. W007	500	Glycosyl hydrolase 1 family
A0A087DJE3	A0A087DJE3_9BIFI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BSTER_1944	Bifidobacterium stercoris	391	Glycosyl hydrolase 1 family
H0BIK3	H0BIK3_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SPW_5091	Streptomyces sp. W007	455	Glycosyl hydrolase 1 family
K7PES2	K7PES2_9BACT	unreviewed	Beta-glucosidase (EC 3.2.1.21)		uncultured bacterium 35A20	443	Glycosyl hydrolase 1 family
K8CT21	K8CT21_CROSK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN128_2336	Cronobacter sakazakii 696	475	Glycosyl hydrolase 1 family
D9WNM9	D9WNM9_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SSOG_05600	Streptomyces himastatinicus ATCC 53653	468	Glycosyl hydrolase 1 family
K8CMR9	K8CMR9_CROSK	unreviewed	Beta-glucosidase 6-phospho-beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	BN128_4469	Cronobacter sakazakii 696	266	Glycosyl hydrolase 1 family
W9ADI0	W9ADI0_9BACI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglB BN988_02059	Oceanobacillus picturae	444	Glycosyl hydrolase 1 family
A0A070SLK4	A0A070SLK4_ECOLX	unreviewed	Beta-glucosidase (EC 3.2.1.21)	AB28_2811	Escherichia coli 2-156-04_S1_C2	456	Glycosyl hydrolase 1 family
K8D7Z9	K8D7Z9_CROSK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN128_701	Cronobacter sakazakii 696	461	Glycosyl hydrolase 1 family
Q9RA58	Q9RA58_9DEIN	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Thermus sp. Z-1	423	Glycosyl hydrolase 1 family
M7R6A1	M7R6A1_VIBHA	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MUQ_13061	Vibrio harveyi CAIM 1792	449	Glycosyl hydrolase 1 family
A0A099J3X0	A0A099J3X0_9MICO	unreviewed	Beta-glucosidase (EC 3.2.1.21)	GY21_16655	Cryobacterium roopkundense	471	Glycosyl hydrolase 1 family
A0A099JMJ2	A0A099JMJ2_9MICO	unreviewed	Beta-glucosidase (EC 3.2.1.21)	GY21_05210	Cryobacterium roopkundense	474	Glycosyl hydrolase 1 family
R9PFT7	R9PFT7_AGAAL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	AALB_0198	Agarivorans albus MKT 106	414	Glycosyl hydrolase 1 family
T0BPF3	T0BPF3_9BACL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	N007_14705	Alicyclobacillus acidoterrestris ATCC 49025	452	Glycosyl hydrolase 1 family
M3EIG2	M3EIG2_9BACL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	B481_1716	Planococcus halocryophilus Or1	397	Glycosyl hydrolase 1 family
C6R4W1	C6R4W1_9MICC	unreviewed	Glycosyl hydrolase, family 1 (EC 3.2.1.21)	ROTMU0001_1139	Rothia mucilaginosa ATCC 25296	493	Glycosyl hydrolase 1 family
U1M199	U1M199_9BACL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	M467_14515	Exiguobacterium pavilionensis RW-2	466	Glycosyl hydrolase 1 family
U1M1A3	U1M1A3_9BACL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	M467_14540	Exiguobacterium pavilionensis RW-2	450	Glycosyl hydrolase 1 family
R0E6N0	R0E6N0_CAUVI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	OR37_02886	Caulobacter crescentus OR37	487	Glycosyl hydrolase 1 family
J7IJ95	J7IJ95_9BACL	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Paenibacillus sp. MTCC 5639	448	Glycosyl hydrolase 1 family
W9GTD4	W9GTD4_9PROT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	N825_22300	Skermanella stibiiresistens SB22	493	Glycosyl hydrolase 1 family
A0A0A7GBF8	A0A0A7GBF8_9THEM	unreviewed	Beta-glucosidase (EC 3.2.1.21)	CELL2_04935	Thermotoga sp. Cell2	444	Glycosyl hydrolase 1 family
A0A090SW15	A0A090SW15_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19240_5391	Vibrio maritimus	473	Glycosyl hydrolase 1 family
A0A090T3G1	A0A090T3G1_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	JCM19240_1995	Vibrio maritimus	208	Glycosyl hydrolase 1 family
A0A090TL25	A0A090TL25_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19240_5428	Vibrio maritimus	372	Glycosyl hydrolase 1 family
A0A090T7F7	A0A090T7F7_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19240_3528	Vibrio maritimus	133	Glycosyl hydrolase 1 family
A0A0A6UCN6	A0A0A6UCN6_ACTUT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MB27_39440	Actinoplanes utahensis	445	Glycosyl hydrolase 1 family
D3Y2V4	D3Y2V4_THEET	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA	Thermoanaerobacter ethanolicus (Clostridium thermohydrosulfuricum)	447	Glycosyl hydrolase 1 family
U2URX1	U2URX1_STRPY	unreviewed	Aryl-phospho-beta-D-glucosidase BglH (EC 3.2.1.21) (EC 3.2.1.86)	bglH HMPREF1231_0868	Streptococcus pyogenes GA06023	474	Glycosyl hydrolase 1 family
R8V3Y2	R8V3Y2_BACCE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	KQ1_03733	Bacillus cereus BAG3O-1	469	Glycosyl hydrolase 1 family
S9QDH2	S9QDH2_9DELT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	D187_002894	Cystobacter fuscus DSM 2262	445	Glycosyl hydrolase 1 family
S9QAM8	S9QAM8_9DELT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	D187_004145	Cystobacter fuscus DSM 2262	432	Glycosyl hydrolase 1 family
V6FCW6	V6FCW6_ECOLX	unreviewed	Aryl-phospho-beta-D-glucosidase BglH (EC 3.2.1.21) (EC 3.2.1.86)	bglH EC990741_4186	Escherichia coli 97.0259	464	Glycosyl hydrolase 1 family
A0A090TQ63	A0A090TQ63_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	JCM19240_1993	Vibrio maritimus	105	Glycosyl hydrolase 1 family
A0A090RRD9	A0A090RRD9_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19235_6404	Vibrio maritimus	469	Glycosyl hydrolase 1 family
J4XBG7	J4XBG7_9STRE	unreviewed	Aryl-phospho-beta-D-glucosidase BglH (EC 3.2.1.21) (EC 3.2.1.86)	bglH HMPREF1150_1418	Streptococcus sp. AS14	479	Glycosyl hydrolase 1 family
W1JJU3	W1JJU3_9BRAD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BCCGELA001_34723	Bradyrhizobium sp. CCGE-LA001	487	Glycosyl hydrolase 1 family
A0A0A6UC18	A0A0A6UC18_ACTUT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MB27_33650	Actinoplanes utahensis	454	Glycosyl hydrolase 1 family
A0A0A6XEE8	A0A0A6XEE8_ACTUT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MB27_04455	Actinoplanes utahensis	450	Glycosyl hydrolase 1 family
A0A090SYM9	A0A090SYM9_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19240_5429	Vibrio maritimus	96	Glycosyl hydrolase 1 family
A0A086ZGS5	A0A086ZGS5_9BIFI	unreviewed	Glycoside hydrolase, family 1 (EC 3.2.1.21)	BBOH_0526	Bifidobacterium bohemicum DSM 22767	397	Glycosyl hydrolase 1 family
A0A0A5G8H5	A0A0A5G8H5_9BACI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	N783_06090	Pontibacillus marinus BH030004 = DSM 16465	447	Glycosyl hydrolase 1 family
C2E3G3	C2E3G3_LACJH	unreviewed	Glycosyl hydrolase, family 1 (EC 3.2.1.21)	bglH HMPREF0528_0287	Lactobacillus johnsonii ATCC 33200	459	Glycosyl hydrolase 1 family
V9VGK4	V9VGK4_9BACI	unreviewed	Aryl-phospho-beta-D-glucosidase (EC 3.2.1.21)	bglC	Bacillus sp. SJ-10	478	Glycosyl hydrolase 1 family
A0A090SZU6	A0A090SZU6_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	JCM19240_5390	Vibrio maritimus	467	Glycosyl hydrolase 1 family
A0A0A6UGB3	A0A0A6UGB3_ACTUT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MB27_28175	Actinoplanes utahensis	450	Glycosyl hydrolase 1 family
A0A090SBY8	A0A090SBY8_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	JCM19235_5611	Vibrio maritimus	474	Glycosyl hydrolase 1 family
A0A090RZQ3	A0A090RZQ3_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19235_3788	Vibrio maritimus	107	Glycosyl hydrolase 1 family
A0A090SN13	A0A090SN13_9VIBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JCM19235_3789	Vibrio maritimus	368	Glycosyl hydrolase 1 family
Q8GEB0	Q8GEB0_9DEIN	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Thermus sp. IB-21	431	Glycosyl hydrolase 1 family
Q8GEB1	Q8GEB1_9DEIN	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Thermus sp. IB-21	436	Glycosyl hydrolase 1 family
H3MMQ0	H3MMQ0_KLEOX	unreviewed	Beta-glucosidase (EC 3.2.1.21)	HMPREF9690_02503	Klebsiella oxytoca 10-5246	456	Glycosyl hydrolase 1 family
D3AL50	D3AL50_9CLOT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	CLOSTHATH_04344	Hungatella hathewayi DSM 13479	449	Glycosyl hydrolase 1 family
L8P7A3	L8P7A3_STRVR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	STVIR_5554	Streptomyces viridochromogenes Tue57	472	Glycosyl hydrolase 1 family
D9XZ76	D9XZ76_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SSRG_04023	Streptomyces griseoflavus Tu4000	479	Glycosyl hydrolase 1 family
D9Y101	D9Y101_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SSRG_00742	Streptomyces griseoflavus Tu4000	463	Glycosyl hydrolase 1 family
I7KI36	I7KI36_9LACT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN193_07300	Lactococcus raffinolactis 4877	377	Glycosyl hydrolase 1 family
A0A099KSH6	A0A099KSH6_COLPS	unreviewed	Beta-glucosidase (EC 3.2.1.21)	ND2E_2596	Colwellia psychrerythraea (Vibrio psychroerythus)	443	Glycosyl hydrolase 1 family
I7L7J4	I7L7J4_9LACT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN193_07295	Lactococcus raffinolactis 4877	101	Glycosyl hydrolase 1 family
D9Y1S6	D9Y1S6_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SSRG_04245	Streptomyces griseoflavus Tu4000	443	Glycosyl hydrolase 1 family
D3ADZ0	D3ADZ0_9CLOT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	CLOSTHATH_01819	Hungatella hathewayi DSM 13479	450	Glycosyl hydrolase 1 family
I7LPV0	I7LPV0_9LACT	unreviewed	Beta-glucosidase 6-phospho-beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	BN193_06300	Lactococcus raffinolactis 4877	128	Glycosyl hydrolase 1 family
I7KHU7	I7KHU7_9LACT	unreviewed	Beta-glucosidase 6-phospho-beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	BN193_06295	Lactococcus raffinolactis 4877	337	Glycosyl hydrolase 1 family
A0A087DF01	A0A087DF01_9BIFI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BISA_0138	Bifidobacterium saguini DSM 23967	467	Glycosyl hydrolase 1 family
L8PCP8	L8PCP8_STRVR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	STVIR_5924	Streptomyces viridochromogenes Tue57	438	Glycosyl hydrolase 1 family
D3AAZ8	D3AAZ8_9CLOT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	CLOSTHATH_00769	Hungatella hathewayi DSM 13479	450	Glycosyl hydrolase 1 family
R8TNK1	R8TNK1_BACCE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	KQ3_03061	Bacillus cereus B5-2	469	Glycosyl hydrolase 1 family
D9XPF0	D9XPF0_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SSRG_06266	Streptomyces griseoflavus Tu4000	471	Glycosyl hydrolase 1 family
I7LS21	I7LS21_9LACT	unreviewed	Beta-glucosidase 6-phospho-beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.86)	BN193_06035	Lactococcus raffinolactis 4877	485	Glycosyl hydrolase 1 family
A0A099L2C3	A0A099L2C3_COLPS	unreviewed	Beta-glucosidase (EC 3.2.1.21)	GAB14E_0254	Colwellia psychrerythraea (Vibrio psychroerythus)	443	Glycosyl hydrolase 1 family
A0A0D8IVH6	A0A0D8IVH6_9FIRM	unreviewed	Beta-glucosidase (EC 3.2.1.21)	TQ39_17660	Ruminococcaceae bacterium 585-1	450	Glycosyl hydrolase 1 family
W3Y128	W3Y128_9STRE	unreviewed	Aryl-phospho-beta-D-glucosidase BglH (EC 3.2.1.21) (EC 3.2.1.86)	bglH HMPREF1519_0659	Streptococcus sp. SR4	478	Glycosyl hydrolase 1 family
J2JX81	J2JX81_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SU9_20923	Streptomyces auratus AGR0001	458	Glycosyl hydrolase 1 family
L1KDW9	L1KDW9_9RHOB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	D516_3714	Rhodobacter sp. AKP1	440	Glycosyl hydrolase 1 family
A0A0D8HP97	A0A0D8HP97_9NOCA	unreviewed	Beta-glucosidase B (EC 3.2.1.21)	bglB_3 SZ00_05071	Rhodococcus sp. AD45	428	Glycosyl hydrolase 1 family
A0A0D8HXD7	A0A0D8HXD7_9NOCA	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA SZ00_03075	Rhodococcus sp. AD45	454	Glycosyl hydrolase 1 family
D3W058	D3W058_STRCI	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Streptomyces cacaoi subsp. cacaoi	489	Glycosyl hydrolase 1 family
Z5DUF2	Z5DUF2_KLEPN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	P821_01976	Klebsiella pneumoniae UCI 18	456	Glycosyl hydrolase 1 family
A0A095ALE8	A0A095ALE8_9SPHN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	FG91_03987	Sphingopyxis sp. LC81	448	Glycosyl hydrolase 1 family
A0A010QHQ5	A0A010QHQ5_9ALTE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	H978DRAFT_3481	Alteromonas sp. ALT199	445	Glycosyl hydrolase 1 family
C9D1B8	C9D1B8_9RHOB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SCH4B_3574	Silicibacter sp. TrichCH4B	333	Glycosyl hydrolase 1 family
D6B2A8	D6B2A8_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SSHG_01767	Streptomyces albus J1074	485	Glycosyl hydrolase 1 family
A0A095AS65	A0A095AS65_9SPHN	unreviewed	Aryl-beta-glucosidase (EC 3.2.1.21)	FG91_03013	Sphingopyxis sp. LC81	431	Glycosyl hydrolase 1 family
A0A010PLT1	A0A010PLT1_9ALTE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	H978DRAFT_3723	Alteromonas sp. ALT199	452	Glycosyl hydrolase 1 family
A0A077XW08	A0A077XW08_9SPHI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA BN1088_1433232	Sphingobacterium sp. PM2-P1-29	444	Glycosyl hydrolase 1 family
A0A094IRZ0	A0A094IRZ0_9GAMM	unreviewed	Beta-glucosidase (EC 3.2.1.21)	IDAT_02000	Idiomarina sp. MCCC 1A10513	461	Glycosyl hydrolase 1 family
B9WY36	B9WY36_STRSU	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SsuiDRAFT_2148	Streptococcus suis 89/1591	466	Glycosyl hydrolase 1 family
B9WX75	B9WX75_STRSU	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SsuiDRAFT_2571	Streptococcus suis 89/1591	466	Glycosyl hydrolase 1 family
F7UBG1	F7UBG1_RHIRD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglB Agau_L101594	Agrobacterium tumefaciens F2	492	Glycosyl hydrolase 1 family
A0A0D0K9U3	A0A0D0K9U3_RHIRD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	RU07_01510	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	437	Glycosyl hydrolase 1 family
A0A095B600	A0A095B600_9SPHN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	FG95_01197	Sphingopyxis sp. LC363	448	Glycosyl hydrolase 1 family
A0A087AN75	A0A087AN75_9BIFI	unreviewed	Glycoside hydrolase, family 1 (EC 3.2.1.21)	BIGA_1728	Bifidobacterium gallinarum	395	Glycosyl hydrolase 1 family
W8I1S6	W8I1S6_ENSAD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	OV14_0411	Ensifer adhaerens OV14	477	Glycosyl hydrolase 1 family
H3ZEG5	H3ZEG5_9ALTE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	AJE_08747	Alishewanella jeotgali KCTC 22429	444	Glycosyl hydrolase 1 family
A0A037Y0K0	A0A037Y0K0_RHIRD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BW45_16345	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	459	Glycosyl hydrolase 1 family
A0A024J0W6	A0A024J0W6_RHIRD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglB BN949_04418	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	459	Glycosyl hydrolase 1 family
A0A0A2WJJ7	A0A0A2WJJ7_9GAMM	unreviewed	Beta-glucosidase (EC 3.2.1.21)	LF41_887	Lysobacter dokdonensis DS-58	455	Glycosyl hydrolase 1 family
A0A087AM90	A0A087AM90_9BIFI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BIGA_1558	Bifidobacterium gallinarum	454	Glycosyl hydrolase 1 family
H1QA68	H1QA68_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SMCF_1772	Streptomyces coelicoflavus ZG0656	452	Glycosyl hydrolase 1 family
A0A081EBT3	A0A081EBT3_STRFR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SFRA_27575	Streptomyces fradiae (Streptomyces roseoflavus)	497	Glycosyl hydrolase 1 family
W1FKB7	W1FKB7_ENTCL	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Enterobacter cloacae ISC8	230	Glycosyl hydrolase 1 family
H1QQV6	H1QQV6_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SMCF_7377	Streptomyces coelicoflavus ZG0656	443	Glycosyl hydrolase 1 family
M1ZM06	M1ZM06_9CLOT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA CULT_80010	Clostridium ultunense Esp	397	Glycosyl hydrolase 1 family
A0A085EQI1	A0A085EQI1_9BURK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA2 FG94_05117	Massilia sp. LC238	444	Glycosyl hydrolase 1 family
A0A081EGY5	A0A081EGY5_STRFR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SFRA_18115	Streptomyces fradiae (Streptomyces roseoflavus)	486	Glycosyl hydrolase 1 family
H0FZK7	H0FZK7_RHIML	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SM0020_13207	Sinorhizobium meliloti CCNWSX0020	457	Glycosyl hydrolase 1 family
A0A081EFM8	A0A081EFM8_STRFR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SFRA_20480	Streptomyces fradiae (Streptomyces roseoflavus)	525	Glycosyl hydrolase 1 family
M1Z429	M1Z429_9CLOT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA CULT_100052	Clostridium ultunense Esp	445	Glycosyl hydrolase 1 family
W1FIQ6	W1FIQ6_ENTCL	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Enterobacter cloacae ISC8	217	Glycosyl hydrolase 1 family
A0A081ECE4	A0A081ECE4_STRFR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SFRA_26525	Streptomyces fradiae (Streptomyces roseoflavus)	480	Glycosyl hydrolase 1 family
A0A081EFM7	A0A081EFM7_STRFR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SFRA_20475	Streptomyces fradiae (Streptomyces roseoflavus)	474	Glycosyl hydrolase 1 family
H1Q7A1	H1Q7A1_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SMCF_733	Streptomyces coelicoflavus ZG0656	479	Glycosyl hydrolase 1 family
H1QRE5	H1QRE5_9ACTN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SMCF_7570	Streptomyces coelicoflavus ZG0656	479	Glycosyl hydrolase 1 family
W1F8E5	W1F8E5_ENTCL	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Enterobacter cloacae ISC8	458	Glycosyl hydrolase 1 family
A0A081EFN3	A0A081EFN3_STRFR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SFRA_20505	Streptomyces fradiae (Streptomyces roseoflavus)	475	Glycosyl hydrolase 1 family
A0A084SEI6	A0A084SEI6_9DELT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	Q664_51765	Cystobacter violaceus Cb vi76	457	Glycosyl hydrolase 1 family
A0A085FY80	A0A085FY80_9BURK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	FG94_00243	Massilia sp. LC238	455	Glycosyl hydrolase 1 family
W8XBQ7	W8XBQ7_9ENTR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglC KPSB59_1940003	Klebsiella quasipneumoniae	456	Glycosyl hydrolase 1 family
W6TLA4	W6TLA4_9SPHI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	N824_07125	Pedobacter sp. V48	447	Glycosyl hydrolase 1 family
S6EVS8	S6EVS8_LACLL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	ypcA O9U_02550	Lactococcus lactis subsp. lactis A12	271	Glycosyl hydrolase 1 family
S6EUE8	S6EUE8_LACLL	unreviewed	Aryl-phospho-beta-D-glucosidase BglH (EC 3.2.1.21)	bglH O9U_03330	Lactococcus lactis subsp. lactis A12	478	Glycosyl hydrolase 1 family
A0A094JYA8	A0A094JYA8_9BACI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JS80_06015	Anoxybacillus sp. KU2-6(11)	453	Glycosyl hydrolase 1 family
E0DHA6	E0DHA6_9CORY	unreviewed	Glycosyl hydrolase, family 1 (EC 3.2.1.21) (EC 3.2.1.86)	bglH HMPREF0299_5058	Corynebacterium matruchotii ATCC 14266	458	Glycosyl hydrolase 1 family
S6EVI6	S6EVI6_LACLL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	llmg_1738 O9U_07140	Lactococcus lactis subsp. lactis A12	453	Glycosyl hydrolase 1 family
S6F9A3	S6F9A3_LACLL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	ypcA O9U_02545	Lactococcus lactis subsp. lactis A12	207	Glycosyl hydrolase 1 family
V6T323	V6T323_9BACI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	G3A_18570	Bacillus sp. 17376	444	Glycosyl hydrolase 1 family
A0A062Y195	A0A062Y195_9BACT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	EG19_00980	Thermoanaerobaculum aquaticum	443	Glycosyl hydrolase 1 family
S6FR19	S6FR19_LACLL	unreviewed	Beta-glucosidase (EC 3.2.1.21)	yckE O9U_00085	Lactococcus lactis subsp. lactis A12	478	Glycosyl hydrolase 1 family
A0A091C594	A0A091C594_9ENTE	unreviewed	Beta-glucosidase/6-phospho-beta-glucosidase (EC 3.2.1.-) (EC 3.2.1.21) (EC 3.2.1.86)	TMU3MR103_0668	Tetragenococcus muriaticus 3MR10-3	301	Glycosyl hydrolase 1 family
A0A031GUM1	A0A031GUM1_9BURK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglA2 BW37_02176	Janthinobacterium lividum	455	Glycosyl hydrolase 1 family
A0A074LBK9	A0A074LBK9_PAEPO	unreviewed	Beta-glucosidase (EC 3.2.1.21)	EL23_19375	Paenibacillus polymyxa (Bacillus polymyxa)	448	Glycosyl hydrolase 1 family
A0A076VZW1	A0A076VZW1_PAEPO	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Paenibacillus polymyxa (Bacillus polymyxa)	448	Glycosyl hydrolase 1 family
A0A067UE98	A0A067UE98_RHIRD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	K538_01230	Agrobacterium tumefaciens GW4	459	Glycosyl hydrolase 1 family
A0A0A6DXI2	A0A0A6DXI2_9BURK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	NC77_09755	Janthinobacterium lividum	454	Glycosyl hydrolase 1 family
B1FT15	B1FT15_9BURK	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BgramDRAFT_0121	Burkholderia graminis C4D1M	464	Glycosyl hydrolase 1 family
A0A074L9I1	A0A074L9I1_PAEPO	unreviewed	Beta-glucosidase (EC 3.2.1.21)	EL23_14535	Paenibacillus polymyxa (Bacillus polymyxa)	448	Glycosyl hydrolase 1 family
A0NVK9	A0NVK9_LABAI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	SIAM614_19411	Labrenzia aggregata (strain ATCC 25650 / DSM 13394 / JCM 20685 / NBRC 16684 / NCIMB 2208 / IAM 12614) (Stappia aggregata)	452	Glycosyl hydrolase 1 family
M8AF35	M8AF35_RHIRD	unreviewed	Beta-glucosidase (EC 3.2.1.21)	H009_17088	Agrobacterium tumefaciens str. Cherry 2E-2-2	459	Glycosyl hydrolase 1 family
C2LSG6	C2LSG6_STRSL	unreviewed	Glycosyl hydrolase, family 1 (EC 3.2.1.21)	STRSA0001_1881	Streptococcus salivarius SK126	478	Glycosyl hydrolase 1 family
H7GEV0	H7GEV0_9DEIN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	RLTM_03131	Thermus sp. RL	436	Glycosyl hydrolase 1 family
C3JLK0	C3JLK0_RHOER	unreviewed	Beta-glucosidase (EC 3.2.1.21)	RHOER0001_6328	Rhodococcus erythropolis SK121	461	Glycosyl hydrolase 1 family
U2TPP6	U2TPP6_9DELT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	A176_01634	Myxococcus sp. (contaminant ex DSM 436)	456	Glycosyl hydrolase 1 family
